filename,contrast,exposure,scale,variance,border_variance,average_motion_x,average_motion_y,t_variance,t_border_variance,t_average_motion_x,t_average_motion_y,orb_variance,orb_border_variance,orb_average_motion_x,orb_average_motion_y,movement
 Cleo_V1-0002,23.608,39.967,UNKNOWN,6.425,,-0.027,0.063,6.425,,-0.027,0.063,4455429.5,,0.626,0.43,STATIC
 Cleo_V1-0003,34.761,42.023,UNKNOWN,,,,,,,,,5516862.0,,-0.056,-0.073,
 Cleo_V1-0004,37.016,37.431,UNKNOWN,0.06,,0.003,0.0,0.011,,0.002,0.0,19205624.0,,-0.118,0.008,STATIC
 Cleo_V1-0005,25.414,43.205,UNKNOWN,37.045,,0.289,-0.014,37.045,,0.289,-0.014,16219607.0,,-0.073,-0.031,STATIC
 Cleo_V1-0006,38.039,49.365,UNKNOWN,782.824,,0.538,-0.23,11315.216,,-3.432,-4.188,46838848.0,,-0.485,-0.061,STATIC
 Cleo_V1-0008,31.944,56.657,UNKNOWN,0.089,0.0,0.025,0.012,0.016,0.046,0.0,-0.0,1190937.25,,0.014,-0.004,STATIC
 Cleo_V1-0009,34.915,55.492,UNKNOWN,157.607,104.943,-0.291,-0.117,156.78,104.729,-0.307,-0.116,80458.406,,0.019,0.082,PAN
 Cleo_V1-0010,35.417,47.317,MEDIUM CLOSE-UP,2.264,1.095,-1.118,1.899,1.963,8.739,0.061,-0.055,536793.625,,-1.223,2.059,STATIC
 Cleo_V1-0010_detected,35.821,47.564,MEDIUM CLOSE-UP,,,,,,,,,,,,,
 Cleo_V1-0011,25.024,49.559,EXTREME CLOSE-UP,17.36,,0.855,1.554,17.36,,0.855,1.554,9028209.0,,0.617,1.535,STATIC
 Cleo_V1-0011_detected,25.331,49.811,MEDIUM LONG SHOT,,,,,,,,,,,,,
 Cleo_V1-0012,36.266,54.933,UNKNOWN,1.51,0.088,0.016,-0.025,0.833,0.072,-0.018,-0.052,544819.688,,-0.017,0.093,STATIC
 Cleo_V1-0013,29.545,49.567,CLOSE-UP,1.503,0.55,0.077,-0.084,0.289,0.941,0.001,-0.018,4507540.0,,0.252,-0.025,STATIC
 Cleo_V1-0013_detected,29.514,49.731,CLOSE-UP,,,,,,,,,,,,,
 Cleo_V1-0014,27.005,53.45,CLOSE-UP,73.789,0.029,0.924,0.904,73.789,0.029,0.924,0.904,113458552.0,,1.326,1.496,STATIC
 Cleo_V1-0014_detected,27.889,53.93,CLOSE-UP,,,,,,,,,,,,,
 Cleo_V1-0015,31.386,51.301,MEDIUM CLOSE-UP,,,,,,,,,,,,,
 Cleo_V1-0015_detected,32.028,51.68,MEDIUM CLOSE-UP,,,,,,,,,,,,,
 Cleo_V1-0016,29.983,44.291,EXTREME CLOSE-UP,14.141,,-0.006,-0.234,14.141,,-0.006,-0.234,887220.562,,0.004,-0.202,STATIC
